title,summary,text,published,source
Reports of OCD among under-25s triple in 10 years,More 16-24 year olds in England say they have symptoms of obsessive compulsive disorder - BBC analysis finds.,"The number of 16-24 year olds in England reporting symptoms of obsessive compulsive disorder, or OCD, has more than tripled in a decade, BBC analysis of NHS data has found. The condition is now the second-most widespread mental health disorder for young adults, according to statistics from a major NHS England survey. ""OCD, I like to think of it as a bully, it attacks everything, everything you care about, everything you love,"" says Sophie Ashcroft. ""A lot of people do associate OCD with cleanliness, and being clean, and getting all your socks in a certain order. It's so much more than that."" The 22-year-old is one of a number of young people and their families to have contacted us through Your Voice, Your BBC News explaining how they can't access NHS treatment for their symptoms. Those who could get seen spoke of a shortage of expert staff and effective treatments. The average referral time figure for young people to be seen at a national OCD centre in London was 41 weeks last year, nearly three times as long as it was five years previously. The government told us it was ""turning services around"", hiring 8,500 extra mental health workers, delivering more talking therapies and providing better access to help through the NHS App. It also said it was expanding the rollout of mental health support teams in schools. Sophie sometimes struggles to leave her home because she feels compelled to repeat small tasks - such as getting into the shower or cleaning her teeth - to dispel intrusive or distressing thoughts. ""If I had a bad thought during the day, it would ruin the rest of my day. I'd think something bad was gonna happen,"" she tells us. The people who have contacted BBC News say lives have been devastated, with some families who haven't been able to get NHS help telling us they have spent hundreds of thousands of pounds on private care. Charities insist there is an OCD crisis and say the figures should be a wake-up call for the government. OCD symptoms can affect adults and children, and can begin as early as six years old - but they are often triggered during puberty and early adulthood. Sophie's symptoms first appeared when she was aged nine, she says, but it was a decade later, when a close friend died, that things became a lot worse. To dispel troubling thoughts, she says it led her to repeat actions again and again - things most people would consider mundane and would do without a second thought. ""It's something telling me you have to do that again, you have to hug that person again, and it just takes over,"" says Sophie. ""It's such an awful, awful feeling."" Despite all this, Sophie has just finished drama school. ""I'm really, really good at hiding it, but behind closed doors it's sheer panic,"" she explains. About 370,000 young people in England reported OCD symptoms in the financial year 2023/24, our analysis of the latest NHS Adult Psychiatric Morbidity Survey (June 2025) has found. That is more than three times the number from 2014, when the ","Fri, 24 Oct 2025 05:08:07 GMT",https://www.bbc.com/news/articles/cdr612zrl0no?at_medium=RSS&at_campaign=rss
Mum is first UK patient to trial new MS treatment,"Biology teacher Emily Henders says she understands the ""scientific rationale"" behind the treatment.","A biology teacher and mother-of-two has become the first UK patient to receive a ""gamechanger"" therapy to treat multiple sclerosis (MS). Emily Henders, 37, from Bushey, Hertfordshire, was treated at University College London Hospital (UCLH) as part of a global clinical trial. Mrs Henders had experienced ""really scary"" relapse episodes since being diagnosed in December 2021 during which, she said: ""My legs don't work, I can't walk."" Experts believe the targeted immunotherapy treatment could ""transform"" lives by slowing or even halting progression of the disease. ""I hope taking part in the trial means I will never have to experience another relapse and that my MS symptoms will not progress,"" Mrs Henders said. ""I know it is still experimental but it offers a scientific rationale which, as a biology teacher, makes sense to me."" Multiple sclerosis is an ""autoimmune"" disease, which happens when the immune system attacks nerves in the brain and spinal cord by mistake. The experimental treatment, known as CAR T cell therapy, aims to reset the immune system. It works by depleting B cells, which are thought to drive the autoimmune attack in MS. The patient's own T cells, which hunt out infected or damaged cells, are genetically engineered and fed back into the patient via an infusion to ""re-set"" the immune system. Mrs Henders, who has sons aged six and four, told the PA news agency she was feeling well after receiving the infusion in a three-minute procedure. ""I'm actually feeling really good. I'm feeling normal and I've got energy back. ""I don't have any nausea, I've had no fevers. I'm feeling pretty relaxed,"" she said. Mrs Henders, whose father also has MS, was diagnosed on Christmas Eve after suffering tingling in her hands. ""Physically, my symptoms have progressively got worse,"" she said. ""I notice sometimes my foot hits the pavement in a funny way. Or when I'm teaching and my hands are shaking."" Mrs Henders will ""never forget"" her first major relapse when her children saw her taken away by ambulance. ""I was getting out of bed and I couldn't stand up - it was very scary,"" she said. ""I'll never forget my children's faces as the medics were rushing in and strapping me to a chair. ""Emotionally, I worry for them and how they're dealing with it. ""I worry that this might be passed on to them. It's very scary for the future, not knowing what the next relapse would bring."" Mrs Henders hopes the treatment will avoid the decline typical in MS patients, who often require a wheelchair. ""It would mean I'll be able to chase my children around, and I'll still be able to work,"" she said. ""I wouldn't be able to be a science teacher in a wheelchair or even on crutches. ""It's too much of a health and safety hazard, so that would have a real impact on my job."" A spokesperson for the MS Society said: ""It's early days but, if trial results prove successful, CAR T-cell therapy could be a gamechanger for how we treat the condition."" UCLH consultant haematologist Claire Roddie","Fri, 24 Oct 2025 10:16:49 GMT",https://www.bbc.com/news/articles/c4gp242nznxo?at_medium=RSS&at_campaign=rss
Resident doctors announce five-day strike in November,Walkout will be the 13th of long-running dispute between government and British Medical Association.,"The British Medical Association has announced a fresh round of strikes in England after talks broke down again with the government. The union and government have been in dialogue throughout the summer and early autumn since the last walkout at the end of July. But the BMA said with no progress being made there would be a five-day walkout by resident doctors, the new name for junior doctors, starting on Friday 14 November. This will be the 13th strike in the long-running pay dispute since March 2023 and is expected to cause significant disruption, particularly in hospitals.  Resident doctors represent nearly half the medical workforce and range from doctors fresh out of university through to those with up to a decade of experience. They will walk out of both emergency and routine care with senior doctors brought in to provide cover. While the NHS attempted to keep as many routine services running as possible during the last strike, thousands of operations and appointments still had to be postponed.  Dr Jack Fletcher, chair of the BMA's resident doctors committee, said: ""This is not where we wanted to be.  ""We talked with the government in good faith. We hoped the government would see that our asks are not just reasonable, but are in the best interests of the public and our patients and would also help stop our doctors leaving the NHS. ""While we want to get a deal done, the government seemingly, does not, leaving us with little option but to call for strike action."" Health Secretary Wes Streeting has maintained throughout this year that he would not negotiate on pay after resident doctors had received pay rises totalling nearly 30% in the past three years. The talks, therefore, had centred on career progression, working conditions and out-of-pocket expenses like exam fees. The union argues that, despite the pay rises, resident doctors' pay is still a fifth lower than it was in 2008, once inflation is taken into account. They have also said they wanted the government to address what they say is a shortage of jobs after the second year of training when resident doctors move into speciality training. This year there were more than 30,000 applicants for 10,000 jobs at this stage, although some will have been doctors from abroad. Health Secretary Wes Streeting called the announcement ""preposterous"". ""The BMA are walking away from an offer to improve resident doctors' working conditions and create more specialty training roles to progress their careers. The BMA are blocking a better deal for doctors. ""These unreasonable and unnecessary strikes do not have the public's support. ""The BMA's reckless posturing will harm patients, leave other doctors and NHS staff to pick up the pieces and divert resources away from rebuilding the NHS."" Rory Deighton, of the NHS Confederation, which represents health leaders, said he was ""bitterly disappointed"" talks had broken down again - and urged the BMA to get back to the negotiating table. ""We now have to prepare to mit","Thu, 23 Oct 2025 13:26:07 GMT",https://www.bbc.com/news/articles/clyk5zr7p71o?at_medium=RSS&at_campaign=rss
Local health hubs at risk as community services under strain,"Care Quality Commission warns GP, mental health and social care services lacking staff and capacity.","The government's goal of moving care from hospitals into neighbourhood health hubs is at risk because community services are under too much strain, the health and care regulator says. In its annual report, the Care Quality Commission said waiting times were too long and staffing too stretched in areas such as mental health, GP care and social care. The regulator said there was a real risk patients would suffer because these services would not able to cope with the extra demands. But the government said investment was being made to address the pressures.   The 10-year NHS plan published in July set out a vision for a neighbourhood health service through the creation of clinics integrating different elements of GP care and hospital services with wider community support. Such a system is seen as crucial way of coping with the ageing population and growing numbers with long-term conditions such as heart disease, diabetes and dementia. The CQC used its own inspection reports and published data to draw up its annual analysis. It raised a number of concerns about the current state of community services, including: CQC interim chief executive Dr Arun Chopra said: ""The 10-year plan is a real chance to improve care by putting people's needs first. But for the plan to succeed, community health and care services need more support."" ""Without this, there's a risk fewer people will be able to access good care, with vulnerable groups hit hardest."" He said older people, those with dementia, learning disabilities and complex mental health needs were most at risk as he called for more investment in services outside of hospital. The report also included patient stories. In one, Arjun set out his experience trying to get support for depression and anxiety.  He did not want to take medication and it took him six months to convince his GP to put him forward for talking therapy. He then faced a further nine-month wait for treatment. His mental health got worse and he started having suicidal thoughts. Warnings were also made about hospital care, with the CQC saying there were ongoing concerns about staffing in maternity units in particular. But it said there were some excellent examples of good practice and innovation too. It highlighted a scheme in Haringey, north London, where GPs, community services, hospital staff and social workers had come together to identify and support local people with complex health conditions. By providing extra tailored support, it managed to reduced emergency attendances and admissions in this group by 30%. A Department of Health and Social Care spokeswoman said: ""This report lays bare the scale of the challenge we inherited after years of neglect and underfunding."" But she said the government was getting the NHS ""back on its feet"", with extra investment beginning to help recruit more staff to key areas, such as GP services and mental health. ""We know there is much more to do – we are working at pace to fundamentally reform services through","Fri, 24 Oct 2025 08:21:29 GMT",https://www.bbc.com/news/articles/cwyp0ngvr3vo?at_medium=RSS&at_campaign=rss
Home fined after two disabled residents drowned,"A boat designed for wheelchair users took on water and flipped, trapping the victims.","A care home has been ordered to pay more than £200,000 after two wheelchair users drowned and a third was seriously hurt when a leaking boat capsized during a day trip. Exeter Magistrates' Court heard Burdon Grange Care Home, near Beaworthy in Devon, failed to carry out basic safety checks before taking six residents to Roadford Lake, near Launceston, Cornwall, in June 2022.  The group hired a ""wheelyboat"" designed for wheelchair users but it took on water and flipped, trapping the victims in their heavy electric wheelchairs, the court heard. Former rugby player Alex Wood, 43, and Alison Tilsley, 63, died and their bodies were recovered two days later. Kate Dart survived with serious injuries. The court heard that Ms Dart, who is in her 50s, was found face down in the water. District Judge Stuart Smith called the case ""devastating, harrowing and absolutely tragic"". He highlighted the home's ""complacency about risk"" and ""false sense of security"" in relying on the boat hirers to carry out safety checks. The court heard the victims were strapped into wheelchairs with no way to escape.  The judge heard no lifejacket could have supported the weight of Mr Wood in the chair he was unable to be released from. One staff member who could not swim became trapped under the boat for 15 minutes.  Mr Wood, a father of four, moved to the care home after he was injured in a rugby accident in France in 2011. His wife Tamsin broke down in court, saying: ""Alex's death has broken me. ""I feel cheated. I wanted to make Alex better and bring him home. ""That has been taken away. I loved Alex so much."" His father Peter said the family was ""deeply troubled and hurt that his death could have been avoided"". The Marine Accident Investigation Branch later found the boat had not been properly maintained, allowing water to leak in and destabilise it. Burdon Grange Care Home Ltd admitted three charges of failing to provide safe care under health and social care laws.  It was fined £180,000, with £20,000 costs and a £190 victim surcharge.  Catherine Campbell, deputy director of the Care Quality Commission in Devon, said after the case: ""The failure of the provider, management and staff to identify and address clear dangers was unacceptable and placed highly vulnerable people at serious risk of harm."" Burdon Grange said in a statement after the case: ""We recognise the pain and distress this boating tragedy has caused the families, relatives and friends of Alex and Ali whose losses are still profoundly felt by our community. ""Our priority now is to move forward and consistently deliver the high-quality care and support our residents and their families rightfully expect."" Follow BBC Cornwall on X, Facebook and Instagram. Send your story ideas to spotlight@bbc.co.uk. The Deep Vision project aims to help shape legal protections for the habitats. The water is collected, filtered and then used to flush toilets and run washing machines.  The museum says it focuses on local businesses deve","Fri, 24 Oct 2025 07:52:08 GMT",https://www.bbc.com/news/articles/cz0x19yd2evo?at_medium=RSS&at_campaign=rss
Midwife open to leading other maternity inquiries,"However, Donna Ockenden's offer to get involved in other inquiries is rejected by the health secretary.","A senior midwife leading the largest maternity review in NHS history has said she would be prepared to expand her work to other parts of England. Donna Ockenden, who is chairing a review into maternity failings in Nottingham, said on Thursday she had the backing from families in the city to take on a similar role investigating Leeds Teaching Hospitals NHS Trust. But a short time later Health Secretary Wes Streeting told Woman's Hour on BBC Radio 4 Ms Ockenden would not lead the Leeds review due to her existing commitments in Nottingham and Shrewsbury and Telford. Families in Leeds have previously said they would like Ms Ockenden to take on the role, but the decision lies with Streeting. Hundreds of babies have died or been injured while under the care of Nottingham University Hospitals (NUH) NHS Trust, which runs maternity departments at City Hospital and the Queen's Medical Centre. The units, which are currently rated by the health watchdog as requires improvement, remain the focus of the largest inquiry of its kind with about 2,500 cases being examined. In June, Streeting announced a national investigation into maternity care in England, with victims of scandals such as Nottingham set to be involved. Ms Ockenden said she had discussed the issue with bereaved families in Nottingham and said she ""felt confident"" there was a way that she could take on more without impacting the work she has done so far. She said she would be willing to chair the inquiry in Leeds and a maternity review at University Hospitals Sussex NHS Trust, describing it as an ""honour"" to be considered. The BBC has been told families in Nottingham are supportive of Ms Ockenden leading other reviews. ""We have to learn in this country that families shouldn't have to fight as hard to get the answers that they deserve,"" she said. ""We saw that at the start of the Nottingham review and we saw it in Shrewsbury and Telford, it's not good enough.  ""It's always an honour and a privilege when families trust in me and say they want me but it is not my decision, it's for the secretary of state."" She said nine families had been in contact with Streeting and asked for her to take on a review of University Hospitals Sussex NHS Foundation Trust - which has maternity units in Brighton, Chichester, Haywards Heath and Worthing.  Asked about calls for her to take on this work, she said: ""Again the sentiments are the same, it's an honour to be trusted by families, it is not my decision but there are ways it can be made to work. ""My promise, and I've discussed this in-depth with Nottingham families and MPs, is it will not impact the quality or timeline for their review."" Streeting said he was aware families in Leeds had told him recently it was ""Donna or bust"". ""She won't be leading the Leeds inquiry, not least because she's leading the work in Nottingham, Shrewsbury and Telford,"" he said. ""If I could clone her, I would but because Donna has earned the trust of the families she is working with, everyo","Thu, 23 Oct 2025 15:03:03 GMT",https://www.bbc.com/news/articles/cr43n2levk9o?at_medium=RSS&at_campaign=rss
CQC chief resigns over maternity failings,Families had been calling for Sir Julian's resignation over poor maternity care at Leeds Teaching Hospitals NHS Trust.,"Sir Julian Hartley, chief executive of the Care Quality Commission which is the independent regulator of all health and adult social care services in England, has resigned.  The announcement comes just days after an independent inquiry into maternity care at the Leeds Teaching Hospitals NHS Trust was announced. Mr Hartley had previously spent a decade leading the trust and said that in light of that inquiry, his role at the CQC, ""has become incompatible with the important conversations happening about care at Leeds."" Some of the families who received poor maternity care had demanded his resignation. On Monday, the Health Secretary Wes Streeting announced an independent inquiry into ""repeated failures"" at the Leeds trust.   Mr Streeting said the investigation would examine what had ""gone so catastrophically wrong"" at the trust's maternity services at both Leeds General Infirmary and St James' University Hospital.   He said he was grateful for Sir Julian Hartley's efforts to improve the work of the Care Quality Commission. ""It is vital that trust in the regulator and its ratings is rebuilt for patients and staff, and I am determined the CQC becomes the robust and effective regulator patients deserve."" Earlier this year, a BBC investigation revealed the deaths of at least 56 babies and two mothers over the past five years may have been prevented.  In a statement reacting to the inquiry's announcement, the trust said it was ""taking significant steps to address improvements."" Several of the families who had campaigned for the inquiry had questioned Mr Hartley's role at the CQC given he had led the trust for 10 years, until 2023.   He was appointed chief executive of the hospital regulator last December having spent 21 months leading NHS Providers, a health service trade body. Amarjit Kaur and Mandip Singh Matharoo's daughter Asees was stillborn in January 2024 - a trust investigation found care issues which may have prevented her death.  They welcomed Mr Hartley's resignation and questioned his original appointment.  ""The fact that he was head of Leeds teaching hospitals over such a large period of time, where maternity care was substandard should have raised alarm bells within the system to prevent him becoming Chief Executive of such a large regulator in the first instance,"" they said. A whistleblower at the trust, who has raised concerns about maternity, also said they were pleased he'd gone.  ""Its been dire for many years, including under his watch. Him being the head of CQC was a scandal when staff like us have been complaining to the regulator about unsafe care. Things need to change,"" she said. A statement from a broader group of bereaved and harmed Leeds families said that while they welcomed his resignation, ""we do not accept his apology.""  Mr Hartley's CQC role, they added, ""has always been a scandal hiding in plain sight. Just as it has been down to bereaved families to prove the total failings of the CQC in their inspection processes and l","Thu, 23 Oct 2025 10:46:55 GMT",https://www.bbc.com/news/articles/c4gp2wgzpp1o?at_medium=RSS&at_campaign=rss
Menopause screening to be included in NHS health checks from next year,Despite the change - which will happen in 2026 - campaigners warn some women will lose out because the number who attend is too low.,"Menopause screening is to be officially incorporated into NHS health checks in England for the first time. Women getting the checks - offered to adults aged 40 to 74 every five years - will be asked about the menopause and possible symptoms from next year. The aim is to identify women who may benefit from advice and support, including treatment, such as hormone replacement therapy (HRT), drugs to combat hot-flushes, and counselling. The government said the measure will bring menopause into the mainstream, but campaigners warned uptake of health checks was worryingly low in some communities so not enough women may benefit. Health checks are primarily aimed at identifying people at risk of conditions such as cardiovascular disease, stroke, kidney disease, diabetes and dementia. They include blood pressure and cholesterol checks as well as measuring a person's BMI (body mass index) and are normally carried out in pharmacies and GP surgeries. But under these changes, from 2026 women will also be asked about the menopause.  The exact questions have yet to be decided, but Health Secretary Wes Streeting said he hoped the move would improve the support offered. ""Women have been suffering in silence for far too long and haven't been encouraged to open up about the symptoms they're experiencing,"" he said. ""This often means they're left to navigate menopause alone with very little support. No-one should have to grit their teeth and just get on with what can be debilitating symptoms or be told that it's simply part of life."" Menopause affects all women differently with most experiencing the transition between ages 45 and 55, though symptoms can begin earlier during perimenopause. Three-quarters of women experience symptoms – from physical changes like joint pain, weight gain and hot flushes to cognitive effects such as memory issues and brain fog. These symptoms can last an average of seven years and significantly affect daily life, yet research shows fewer than one in 10 feel they have enough information to deal with it. Women's Health Ambassador Dame Lesley Regan welcomed the move to ask women about the menopause. She said: ""Some 400,000 women in the UK will become menopausal this year, but the vast majority of them will have very little knowledge of what underlies the many and varied symptoms."" Prof Ranee Thakar, of the Royal College of Obstetricians and Gynaecologists, said it would help ""break down barriers and reduce stigma"".  But she said staff carrying out the health checks would need training for the change to have the maximum positive impact. And she added more needed to be done to help women from ethnic communities and the poorest areas access NHS health checks. Janet Lindsay, from Wellbeing of Women, said she hoped the move would help more women understand their symptoms and seek help. But she too is concerned about uptake of health checks. ""Women and people from marginalised communities are less likely to know about or attend these appointments ","Thu, 23 Oct 2025 00:19:26 GMT",https://www.bbc.com/news/articles/cq50z185d78o?at_medium=RSS&at_campaign=rss
Life-changing eye implant helps blind patients read again,"The results are astounding and a major advance, say surgeons involved in international research using the pioneering technology.","A group of blind patients can now read again after being fitted with a life-changing implant at the back of the eye. A surgeon who inserted the microchips in five patients at Moorfields Eye Hospital in London says the results of the international trial are ""astounding"". Sheila Irvine, 70, who is registered blind, told the BBC it was ""out of this world"" to be able to read and do crosswords again. ""It's beautiful, wonderful. It gives me such pleasure."" The technology offers hope to people with an advanced form of dry age-related macular degeneration (AMD), called geographic atrophy (GA), which affects more than 250,000 people in the UK and five million worldwide. In those with the condition - which is more common in older people - cells in a tiny area of the retina at the back of the eye gradually become damaged and die, resulting in blurred or distorted central vision. Colour and fine detail are often lost. The new procedure involves inserting a tiny 2mm-square photovoltaic microchip, with the thickness of a human hair, under the retina. Patients then put on glasses with a built-in video camera. The camera sends an infrared beam of video images to the implant at the back of the eye, which sends them on to a small pocket processor to be enhanced and made clearer.  The images are then sent back to the patient's brain, via the implant and optic nerve, giving them some vision again. The patients spent months learning how to interpret the images.  Mahi Muqit, consultant ophthalmic surgeon at Moorfields Eye Hospital in London, who led the UK arm of the trial, told the BBC it was ""pioneering and life-changing technology"". ""This is the first implant that's been demonstrated to give patients meaningful vision that they can use in their daily life, such as reading, writing.  ""I think this is a major advance,"" he said. For the research, published in the New England Journal of Medicine, 38 patients with geographic atrophy in five European countries took part in the trial of the Prima implant, which is made by California biotech Science Corporation. Of 32 patients given the implant, 27 were able to read again using their central vision. After a year, this equated to an improvement of 25 letters, or five lines, on an eye chart. For Sheila, from Wiltshire, the improvement is even more dramatic. Without the implant, she is completely unable to read.  But when we filmed Sheila reading an eye chart at Moorfields Hospital, she did not make a single error. After completing it, she punched the air and cheered. The task took huge concentration. Sheila had to put a pillow under her chin in order to steady the feed from the camera, which can focus on just one or two letters at a time. At some points she needed the device switched to magnification mode, especially to distinguish between the letters C and O. Sheila began losing her central vision more than 30 years ago, due to loss of cells in the retina. She describes her vision as like having two black discs in each eye.","Mon, 20 Oct 2025 12:00:12 GMT",https://www.bbc.com/news/articles/c0qpz39jpj7o?at_medium=RSS&at_campaign=rss
Call for allergy pens in schools after boy's death,Benedict Blythe's parents say lives and money could be saved by giving allergy pens to all schools.,"A mother is urging the government to ""act immediately"" to roll out spare allergy pens in schools after her five-year-old son died from a reaction to cow's milk. Benedict Blythe, from Stamford, Lincolnshire, died in hospital after collapsing at Barnack Primary School in December 2021. An inquest found delayed administration of his adrenaline pen was a factor in his death. His mother, Helen Blythe, said: ""No parent should lose a child because medication wasn't there when it was needed. The solutions exist. What's missing is action."" The Department for Education said it was ""working across government to consider how we might extend the availability of allergy pens in schools."" Benedict had asthma and a number of allergies to food including eggs, nuts, kiwi fruit and milk. His parents had worked with the school to put together a personal allergy action plan and a specific process for storing, preparing and supplying oat milk to the pupil. In July, an inquest jury looking into Benedict's death found that the school did not follow all the measures in place to prevent his death from a fatal anaphylactic reaction to cow's milk which he had been given accidentally. This included delays in administering his medication, Mrs Blythe said. At the time, Mrs Blythe called for a new ""Benedict's Law"" to ensure schools have adequate allergy plans for children and said her son's death was ""preventable and caused by a cascade of failures"". The Benedict Blythe Foundation, set up by Mrs Blythe, has published new research with Professor Paul Turner, of Imperial College London, and the National Allergy Strategy Group (NASG) in the Archives of Disease In Childhood, a peer-reviewed journal. The study said putting spare allergy pens in every UK school could not only save lives but also reduce NHS medication waste, be simpler logistically, improve emergency access and be cost-neutral for most NHS Integrated Care Boards. It could save the government at least £4.6m a year in costs, the foundation said. ""Despite clear evidence and cost savings that would fully fund ""Benedict's Law"", the Department for Education has yet to act – leaving pupils starting in school this year at risk,"" it added.. Mrs Blythe said: ""The evidence is now published, peer-reviewed and beyond question – yet nothing has changed. ""Another school year has started and children are still going to class without guaranteed access to adrenaline. ""The Department for Education had this evidence ahead of Benedict's inquest in July. They know what needs to be done – yet schools remain unequipped."" Peter Blythe, Benedict's father, said: ""The savings identified are more than sufficient to fund national allergy training, emergency planning and policy development across schools.  ""It's financially sound, evidence-based, and morally urgent."" A Department For Education spokesperson said: ""What happened to Benedict was a tragedy for his family and our thoughts remain with all of those who loved him. ""To put a stop to allergi","Wed, 22 Oct 2025 15:44:27 GMT",https://www.bbc.com/news/articles/c9v1mxxvewyo?at_medium=RSS&at_campaign=rss
